DOC_TYPE_CD,DOC_TYPE_VERSION_TXT,QUES_CODE_SYSTEM_CD,QUES_CODE_SYSTEM_DESC_TXT,DATA_TYPE,QUESTION_IDENTIFIER,QUES_DISPLAY_NAME,SECTION_NM,SENDING_SYSTEM_CD
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","NULL","------","NULL","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.1","LOINC","XML","10164-2","HISTORY OF PRESENT ILLNESS","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.1","LOINC","XML","11369-6","HISTORY OF IMMUNIZATIONS","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.1","LOINC","XML","11450-4","PROBLEM LIST","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.1","LOINC","NUMERIC","11920_8","AST [SGOT] Result","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.96","SNOMED-CT","CODED","161882006","Stiff Neck","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.96","SNOMED-CT","CODED","16932000","Nausea","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.1","LOINC","NUMERIC","1742_6","ALT [SGPT] Result","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.1","LOINC","XML","18776-5","TREATMENT PLAN","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.96","SNOMED-CT","CODED","196746003","Persistent Vomiting","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.96","SNOMED-CT","CODED","20262006","Ataxia","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.96","SNOMED-CT","CODED","21522001","Abdominal Pain or Tenderness","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.96","SNOMED-CT","CODED","25064002","Headache","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.96","SNOMED-CT","CODED","26284000","Oral Ulcer","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.96","SNOMED-CT","CODED","271795006","Fatigue or Malaise","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.96","SNOMED-CT","CODED","271807003","Rash","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.1","LOINC","XML","29299-5","REASON FOR VISIT","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.1","LOINC","XML","29549-3","MEDICATIONS ADMINISTERED","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.1","LOINC","XML","29762-2","SOCIAL HISTORY","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.1","LOINC","DATE","30952_6","Vaccine Administered Date","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.1","LOINC","XML","30954-2","RELEVANT DIAGNOSTIC TESTS/LABORATORY DATA","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.1","LOINC","CODED","30956_7","Vaccine Type","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.1","LOINC","CODED","30957_5","Vaccine Manufacturer","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.1","LOINC","TEXT","30959_1","Vaccine Lot Number","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.1","LOINC","CODED","324160","Newborn Complications","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.96","SNOMED-CT","CODED","32798002","Parkinsonism","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.1","LOINC","DATE","338822","Specimen Collection Date","Diagnostic Lab Test Findings","NBS"
"PHDC","1.3","2.16.840.1.113883.6.96","SNOMED-CT","CODED","3723001","Arthritis","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.96","SNOMED-CT","CODED","386661006","Fever","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.1","LOINC","CODED","404400","Dengue Serotype","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.96","SNOMED-CT","CODED","419188005","Leukopenia","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.96","SNOMED-CT","CODED","419284004","Altered Mental Status","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.96","SNOMED-CT","CODED","42106004","Tourniquet Test Positive","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.96","SNOMED-CT","CODED","43724002","Chills or Rigors","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.96","SNOMED-CT","CODED","44695005","Paralysis or Paresis","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.1","LOINC","XML","46240-8","HISTORY OF ENCOUNTERS","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.1","LOINC","CODED","5199_5","supplemental anti-HCV assay","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","DATE","5199_5_DT","Specimen Collection Date (supplemental anti-HCV assay)","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.1","LOINC","TEXT","568311","Other Symptoms","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.96","SNOMED-CT","CODED","57676002","Arthralgia","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.96","SNOMED-CT","CODED","62315008","Diarrhea","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.1","LOINC","CODED","638932","Pregnancy Outcome","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.1","LOINC","CODED","667469","Specimen Type","Diagnostic Lab Test Findings","NBS"
"PHDC","1.3","2.16.840.1.113883.6.96","SNOMED-CT","CODED","68962001","Myalgia","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.1","LOINC","DATE","752030","Mother's Last Menstrual Period Before Delivery","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.96","SNOMED-CT","CODED","80515008","Liver Enlargement","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.96","SNOMED-CT","CODED","91175000","Seizures","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.96","SNOMED-CT","CODED","91454002","CSF Pleocytosis (>=5 WBC)","NULL","NBS"
"PHDC","1.3","2.16.840.1.113883.6.96","SNOMED-CT","CODED","9826008","Conjunctivitis","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","CODED","ARB001","Type of Arbovirus","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","CODED","ARB002","Clinical Syndrome","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","TEXT","ARB002_OTH","Other Clinical Syndrome","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","CODED","ARB003","Lab Acquired","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","CODED","ARB004","Non Lab Acquired","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","CODED","ARB005","Blood Donor","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","CODED","ARB006","Blood Transfusion Received","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","CODED","ARB007","Organ Donor","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","CODED","ARB008","Organ Transplant Received","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","CODED","ARB009","Breast Fed Infant","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","CODED","ARB010","Infected In Utero","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","CODED","ARB011","CDC Publish Indicator","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","CODED","ARB012","Acute Flaccid Paralysis (AFP)","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","CODED","ARB013","Identified By Blood Donor Screening","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","DATE","ARB014","Date of Donation","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","CODED","ARB015","Lab Testing By","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","CODED","ARB050","Clinical Syndrome, Secondary","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","TEXT","ARB050_OTH","Other Clinical Syndrome, Secondary","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","DATE","CON101","Date Named","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","CON103","Relationship","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","CON104","Exposure Type","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","CON105","Exposure Site Type","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","PART","CON106","Exposure Site","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","DATE","CON107","First Exposure Date","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","DATE","CON108","Last Exposure Date","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","CON112","Priority","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","CON114","Disposition","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","CON115","Health Status","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","CON117","Was testing/evaluation completed for this illness?","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","DATE","CON118","Date of Evaluation","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","TEXT","CON119","Evaluation Findings","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","CON120","Was treatment initiated for this illness?","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","DATE","CON121","Treatment Start Date","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","CON122","Reason Treatment Not Started","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","CON123","Was treatment completed?","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","DATE","CON124","Treatment End Date","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","CON125","Reason Treatment Not Completed","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","TEXT","CON126","Treatment Notes","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","CON127","Group/Lot ID","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","CON128","Were there any signs/symptoms for this illness?","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","DATE","CON129","Symptom Onset Date","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","TEXT","CON130","Signs & Symptoms Notes","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","CON131","Were there any risk factors for this illness?","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","TEXT","CON132","Risk Factor Notes","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","TEXT","CON133","General Comments","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","CON134","Jurisdiction","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","CON135","Program Area","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","CON136","Shared Indicator","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","PART","CON137","Investigator","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","DATE","CON138","Date Assigned","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","CON139","Status","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","DATE","CON140","Disposition Date","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","CON141","Relationship with Patient/Other infected Patient?","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","PART","CON142","Other Infected Patient","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","CON143","Named","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","CON144","Referral Basis","NULL","NBS"
