ANS_FROM_CODE,ANS_FROM_CODE_SYSTEM_CD,ANS_FROM_CODE_SYSTEM_DESC_TXT,ANS_FROM_DISPLAY_NM,ANS_TO_CODE,ANS_TO_CODE_SYSTEM_CD,ANS_TO_CODE_SYSTEM_DESC_TXT,ANS_TO_DISPLAY_NM,CODE_TRANSLATION_REQUIRED,DOC_TYPE_CD,DOC_TYPE_VERSION_TXT,QUES_CODE_SYSTEM_CD,QUESTION_IDENTIFIER,SENDING_SYSTEM_CD
"0","2.16.840.1.114222.4.5.274","PHIN VS (CDC Local Coding System)","Refused to answer","PHC175","2.16.840.1.114222.4.5.274","PHIN VS (CDC Local Coding System)","Refused to answer","YES","PHDC","1.3","2.16.840.1.114222.4.5.1","NBS273","NBS"
"01","2.16.840.1.113883.6.92","FIPS 5-2 (State)","Alabama","01","2.16.840.1.113883.6.92","FIPS 5-2 (State)","Alabama","NO","PHDC","1.3","2.16.840.1.113883.6.1","NOT109","NBS"
"01","2.16.840.1.113883.6.92","FIPS 5-2 (State)","Alabama","01","2.16.840.1.113883.6.92","FIPS 5-2 (State)","Alabama","NO","PHDC","1.3","2.16.840.1.114222.4.5.1","DEM162_W","NBS"
"01","2.16.840.1.113883.6.92","FIPS 5-2 (State)","Alabama","01","2.16.840.1.113883.6.92","FIPS 5-2 (State)","Alabama","NO","PHDC","1.3","2.16.840.1.114222.4.5.1","NBS021","NBS"
"01","2.16.840.1.113883.6.92","FIPS 5-2 (State)","Alabama","01","2.16.840.1.113883.6.92","FIPS 5-2 (State)","Alabama","NO","PHDC","1.3","2.16.840.1.114222.4.5.1","NBS032","NBS"
"01","2.16.840.1.113883.6.92","FIPS 5-2 (State)","Alabama","01","2.16.840.1.113883.6.92","FIPS 5-2 (State)","Alabama","NO","PHDC","1.3","2.16.840.1.114222.4.5.1","NBS039","NBS"
"01","2.16.840.1.113883.6.92","FIPS 5-2 (State)","Alabama","01","2.16.840.1.113883.6.92","FIPS 5-2 (State)","Alabama","NO","PHDC","1.3","2.16.840.1.114222.4.5.1","NBS052","NBS"
"01","2.16.840.1.113883.6.92","FIPS 5-2 (State)","Alabama","01","2.16.840.1.113883.6.92","FIPS 5-2 (State)","Alabama","NO","PHDC","1.3","2.16.840.1.114222.4.5.1","PLC113","NBS"
"01","2.16.840.1.113883.6.92","FIPS 5-2 (State)","Alabama","01","2.16.840.1.113883.6.92","FIPS 5-2 (State)","Alabama","NO","PHDC","1.3","2.16.840.1.114222.4.5.232","DEM162","NBS"
"01","2.16.840.1.113883.6.92","FIPS 5-2 (State)","Alabama","01","2.16.840.1.113883.6.92","FIPS 5-2 (State)","Alabama","NO","PHDC","1.3","2.16.840.1.114222.4.5.232","DEM162_W","NBS"
"01","2.16.840.1.113883.6.92","FIPS 5-2 (State)","Alabama","01","2.16.840.1.113883.6.92","FIPS 5-2 (State)","Alabama","NO","PHDC","1.3","2.16.840.1.114222.4.5.232","INV117","NBS"
"01","2.16.840.1.113883.6.92","FIPS 5-2 (State)","Alabama","01","2.16.840.1.113883.6.92","FIPS 5-2 (State)","Alabama","NO","PHDC","1.3","2.16.840.1.114222.4.5.232","INV154","NBS"
"01","2.16.840.1.113883.6.92","FIPS 5-2 (State)","Alabama","01","2.16.840.1.113883.6.92","FIPS 5-2 (State)","Alabama","NO","PHDC","1.3","2.16.840.1.114222.4.5.232","NOT109","NBS"
"02","2.16.840.1.113883.6.92","FIPS 5-2 (State)","Alaska","02","2.16.840.1.113883.6.92","FIPS 5-2 (State)","Alaska","NO","PHDC","1.3","2.16.840.1.113883.6.1","NOT109","NBS"
"02","2.16.840.1.113883.6.92","FIPS 5-2 (State)","Alaska","02","2.16.840.1.113883.6.92","FIPS 5-2 (State)","Alaska","NO","PHDC","1.3","2.16.840.1.114222.4.5.1","DEM162_W","NBS"
"02","2.16.840.1.113883.6.92","FIPS 5-2 (State)","Alaska","02","2.16.840.1.113883.6.92","FIPS 5-2 (State)","Alaska","NO","PHDC","1.3","2.16.840.1.114222.4.5.1","NBS021","NBS"
"02","2.16.840.1.113883.6.92","FIPS 5-2 (State)","Alaska","02","2.16.840.1.113883.6.92","FIPS 5-2 (State)","Alaska","NO","PHDC","1.3","2.16.840.1.114222.4.5.1","NBS032","NBS"
